Timestamp,Channel1,Channel2,Channel3,Channel4,Channel5,Channel6,Channel7,Channel8
1764511581.878081,-8766.315,-40935.195,-31307.715,-12240.495,-12157.425,-37378.62,-25825.005,-23780.07
1764511581.878081,-8768.52,-40937.22,-31310.055,-12243.33,-12160.395,-37381.725,-25828.29,-23782.365
1764511581.878081,-8764.38,-40930.47,-31304.295,-12237.84,-12154.68,-37375.92,-25824.015,-23776.92
1764511581.878081,-8768.654999999999,-40935.465,-31309.65,-12242.655,-12160.215,-37380.96,-25828.56,-23781.33
1764511581.878081,-8765.055,-40931.55,-31305.645,-12238.785,-12156.48,-37377.54,-25824.825,-23777.865
1764511581.878081,-8765.414999999999,-40931.28,-31306.32,-12239.865,-12157.335,-37378.44,-25825.275,-23778.405
1764511581.878081,-8770.725,-40938.705,-31313.79,-12247.83,-12164.94,-37386.315,-25831.485,-23784.165
1764511581.878081,-8771.58,-40939.695,-31314.105,-12247.2,-12163.815,-37385.055,-25831.89,-23783.895
1764511581.878081,-8770.904999999999,-40938.255,-31313.34,-12245.355,-12162.06,-37382.895,-25830.99,-23782.05
1764511581.878081,-8766.72,-40933.53,-31309.245,-12242.745,-12160.62,-37381.455,-25828.83,-23777.28
1764511581.878081,-8759.205,-40926.42,-31301.415,-12236.67,-12154.815,-37375.875,-25823.61,-23770.395
1764511581.878081,-8756.055,-40923.405,-31297.275,-12232.665,-12150.945,-37372.095,-25820.865,-23766.795
1764511581.8800817,-8756.955,-40923.855,-31297.68,-12231.81,-12149.64,-37371.06,-25821.0,-23765.715
1764511581.8800817,-8762.31,-40930.02,-31303.755,-12237.975,-12156.435,-37377.45,-25827.03,-23770.665
1764511581.8800817,-8763.93,-40932.18,-31304.88,-12236.085,-12153.42,-37375.245,-25825.86,-23771.43
1764511581.8800817,-8761.32,-40929.075,-31301.955,-12234.105,-12150.63,-37372.815,-25823.115,-23768.505
1764511581.8800817,-8756.595,-40923.72,-31297.725,-12232.08,-12149.505,-37371.375,-25820.28,-23762.835
1764511581.8800817,-8759.789999999999,-40927.095,-31301.19,-12235.86,-12154.23,-37375.29,-25823.115,-23765.355
1764511581.8800817,-8758.845,-40926.69,-31300.83,-12235.32,-12154.14,-37375.47,-25822.845,-23763.915
1764511581.8800817,-8759.43,-40926.735,-31301.325,-12234.015,-12152.79,-37374.39,-25823.205,-23762.385
1764511581.8800817,-8759.699999999999,-40928.22,-31302.0,-12233.52,-12151.53,-37373.22,-25822.89,-23762.385
1764511581.8800817,-8757.855,-40926.195,-31299.57,-12231.495,-12149.955,-37370.52,-25821.945,-23760.45
1764511581.8800817,-8751.105,-40919.58,-31294.305,-12227.49,-12147.795,-37367.28,-25818.03,-23753.655
1764511581.8800817,-8753.805,-40922.505,-31295.79,-12226.905,-12146.895,-37366.56,-25818.75,-23755.455
1764511581.9247117,-8757.945,-40926.96,-31298.895,-12229.065,-12148.695,-37367.82,-25821.09,-23758.47
1764511581.9247117,-8755.965,-40924.125,-31297.14,-12228.21,-12149.19,-37367.955,-25821.225,-23756.4
1764511581.925706,-8751.195,-40919.13,-31292.19,-12221.415,-12141.72,-37360.71,-25815.51,-23751.405
1764511581.925706,-8751.645,-40919.715,-31292.19,-12221.055,-12140.37,-37360.17,-25815.69,-23751.54
1764511581.925706,-8753.895,-40922.415,-31295.97,-12224.745,-12144.915,-37365.165,-25817.67,-23753.205
1764511581.925706,-8750.43,-40918.905,-31293.495,-12223.44,-12144.105,-37362.915,-25815.105,-23749.245
1764511581.925706,-8754.255,-40923.54,-31297.005,-12226.905,-12146.895,-37365.345,-25818.255,-23751.855
1764511581.925706,-8752.32,-40922.685,-31295.97,-12225.825,-12145.545,-37363.545,-25817.355,-23749.56
1764511581.925706,-8746.02,-40918.23,-31290.975,-12220.515,-12140.145,-37358.865,-25812.27,-23743.845
1764511581.925706,-8746.965,-40920.03,-31293.225,-12223.08,-12142.845,-37360.305,-25814.385,-23745.69
1764511581.925706,-8749.529999999999,-40925.34,-31298.85,-12227.895,-12147.84,-37364.895,-25818.795,-23750.865
1764511581.925706,-8746.244999999999,-40922.505,-31294.44,-12223.17,-12142.8,-37360.35,-25816.23,-23748.03
1764511581.925706,-8746.244999999999,-40922.415,-31294.98,-12224.07,-12144.06,-37361.385,-25816.905,-23748.12
1764511581.925706,-8742.24,-40918.95,-31291.965,-12220.785,-12140.955,-37358.865,-25814.52,-23744.16
1764511581.925706,-8738.955,-40916.16,-31289.715,-12219.075,-12138.255,-37356.255,-25811.955,-23740.74
1764511581.925706,-8735.58,-40911.48,-31285.755,-12216.33,-12135.555,-37353.51,-25810.38,-23738.58
1764511581.925706,-8736.795,-40913.865,-31286.655,-12216.69,-12134.475,-37352.835,-25811.1,-23740.29
1764511581.925706,-8735.985,-40913.505,-31286.475,-12216.555,-12134.43,-37352.52,-25810.38,-23739.345
1764511581.9267085,-8734.455,-40911.525,-31285.845,-12215.835,-12134.565,-37352.61,-25810.245,-23738.13
1764511581.927706,-8737.695,-40916.745,-31291.02,-12221.37,-12139.245,-37357.965,-25815.645,-23742.54
1764511581.9282606,-8733.869999999999,-40912.065,-31285.305,-12217.23,-12134.835,-37352.61,-25811.73,-23738.265
1764511581.9282606,-8732.744999999999,-40912.335,-31284.855,-12217.86,-12136.005,-37352.34,-25811.775,-23739.21
1764511581.9722836,-8736.21,-40916.295,-31288.95,-12221.64,-12140.145,-37356.3,-25814.79,-23742.72
1764511581.9722836,-8733.105,-40912.785,-31285.395,-12216.87,-12134.745,-37351.755,-25810.83,-23739.3
