Timestamp,Channel1,Channel2,Channel3,Channel4,Channel5,Channel6
1764510723.097257,-285324.975,-286367.265,-282869.28,-300358.035,-282843.36,-278642.745
1764510723.097257,-285211.035,-286253.28,-282755.115,-300243.78,-282728.43,-278528.31
1764510723.097257,-285209.73,-286251.615,-282754.08,-300243.015,-282726.315,-278526.915
1764510723.097257,-285280.965,-286322.85,-282825.855,-300315.015,-282797.505,-278598.285
1764510723.097257,-285270.435,-286312.77,-282815.46,-300304.53,-282787.2,-278587.845
1764510723.097257,-285302.7,-286344.72,-282848.265,-300337.515,-282819.015,-278620.56
1764510723.097257,-285375.915,-286418.16,-282921.615,-300410.64,-282892.68,-278693.955
1764510723.097257,-285370.38,-286412.355,-282916.305,-300405.555,-282887.055,-278688.24
1764510723.097257,-285276.015,-286317.855,-282820.815,-300309.84,-282792.465,-278593.11
1764510723.097257,-285298.335,-286340.355,-282843.315,-300332.115,-282814.29,-278615.34
1764510723.097257,-285267.915,-286310.07,-282812.355,-300301.29,-282784.05,-278584.83
1764510723.097257,-285255.855,-286297.785,-282799.98,-300289.005,-282771.585,-278572.545
1764510723.097257,-285340.14,-286382.295,-282884.22,-300373.47,-282855.915,-278656.92
1764510723.097257,-285296.94,-286339.32,-282841.245,-300330.405,-282812.805,-278613.675
1764510723.097257,-285301.755,-286343.955,-282845.745,-300334.77,-282817.575,-278618.49
1764510723.097257,-285346.665,-286388.865,-282890.925,-300379.815,-282862.215,-278663.49
1764510723.097257,-285296.58,-286339.095,-282840.705,-300330.045,-282812.67,-278613.27
1764510723.097257,-285228.63,-286271.235,-282772.755,-300261.87,-282744.495,-278545.095
1764510723.097257,-285266.835,-286309.44,-282810.69,-300299.76,-282782.655,-278583.255
1764510723.097257,-285288.255,-286330.5,-282831.705,-300321.045,-282803.58,-278604.225
1764510723.097257,-285302.655,-286344.18,-282845.385,-300334.68,-282817.35,-278617.815
1764510723.097257,-285344.235,-286386.21,-282887.46,-300376.62,-282858.525,-278659.98
1764510723.097257,-285354.18,-286396.38,-282897.27,-300386.52,-282868.83,-278669.97
1764510723.097257,-285294.915,-286336.665,-282837.6,-300326.445,-282808.755,-278610.255
1764510723.097257,-285293.745,-286335.405,-282835.665,-300324.51,-282807.18,-278608.365
1764510723.097257,-285299.595,-286341.39,-282841.65,-300330.405,-282812.805,-278614.305
1764510723.097257,-285337.395,-286379.28,-282879.81,-300368.745,-282850.74,-278652.105
1764510723.097257,-285351.12,-286393.545,-282893.715,-300382.515,-282863.88,-278665.695
1764510723.097257,-285319.485,-286361.82,-282861.315,-300350.07,-282831.615,-278633.52
1764510723.1434774,-285280.38,-286322.895,-282821.58,-300310.47,-282791.925,-278593.965
1764510723.1434774,-285295.815,-286338.015,-282836.43,-300325.14,-282806.865,-278608.95
1764510723.1434774,-285350.76,-286392.825,-282891.375,-300380.22,-282861.27,-278663.94
1764510723.1434774,-285354.855,-286397.37,-282895.695,-300384.18,-282865.545,-278667.9
1764510723.1434774,-285297.345,-286340.49,-282837.69,-300326.265,-282807.54,-278610.03
