Timestamp,Channel1,Channel2,Channel3,Channel4,Channel5,Channel6,Channel7,Channel8
1764511894.0738018,-9516.555,-41304.78,-30541.995,-12617.145,-12760.47,-36005.22,-25069.005,-22914.99
1764511894.0738018,-9517.005,-41305.815,-30542.94,-12617.55,-12761.73,-36006.255,-25069.365,-22914.675
1764511894.0738018,-9518.715,-41307.93,-30544.155,-12619.44,-12762.855,-36008.01,-25071.525,-22915.485
1764511894.0738018,-9523.125,-41312.88,-30549.33,-12625.155,-12767.805,-36012.869999999995,-25075.755,-22919.895
1764511894.0738018,-9523.44,-41314.275,-30550.545,-12626.865,-12769.515,-36015.165,-25076.745,-22921.2
1764511894.0738018,-9521.775,-41312.79,-30549.555,-12625.425,-12768.48,-36014.355,-25075.62,-22920.885
1764511894.0738018,-9516.78,-41306.67,-30543.84,-12619.665,-12762.675,-36008.46,-25070.22,-22915.44
1764511894.0738018,-9515.295,-41304.195,-30540.87,-12617.505,-12759.795,-36005.22,-25067.43,-22912.785
1764511894.0738018,-9518.4,-41306.58,-30543.345,-12620.115,-12762.9,-36007.515,-25069.41,-22915.575
1764511894.0738018,-9521.325,-41310.045,-30547.755,-12623.355,-12766.86,-36011.43,-25072.695,-22920.345
1764511894.0738018,-9522.135,-41310.54,-30547.98,-12624.48,-12766.23,-36011.475,-25073.82,-22921.875
1764511894.0738018,-9523.53,-41310.495,-30548.205,-12624.93,-12766.59,-36011.385,-25073.955,-22922.19
1764511894.0738018,-9522.45,-41308.02,-30545.64,-12622.77,-12764.34,-36009.18,-25071.255,-22920.84
1764511894.0738018,-9519.03,-41303.295,-30541.725,-12618.945,-12760.29,-36004.545,-25066.845,-22917.42
1764511894.0738018,-9521.37,-41304.195,-30542.895,-12619.575,-12760.875,-36005.4,-25067.745,-22918.905
1764511894.0738018,-9524.07,-41305.365,-30543.93,-12621.195,-12762.765,-36008.1,-25068.375,-22920.975
1764511894.0738018,-9527.895,-41308.515,-30547.26,-12624.345,-12765.015,-36010.665,-25070.715,-22924.44
1764511894.0738018,-9523.44,-41301.855,-30540.87,-12617.955,-12758.22,-36003.78,-25064.595,-22918.995
1764511894.0738018,-9525.69,-41302.62,-30541.545,-12619.575,-12759.57,-36005.49,-25065.63,-22920.39
1764511894.0738018,-9530.775,-41306.265,-30545.01,-12623.445,-12763.395,-36009.72,-25069.275,-22923.81
1764511894.0738018,-9526.275,-41299.74,-30539.16,-12617.37,-12756.645,-36003.375,-25064.01,-22918.905
1764511894.1235623,-9527.13,-41299.29,-30539.385,-12617.28,-12756.915,-36003.465,-25063.695,-22918.41
1764511894.1235623,-9531.405,-41302.755,-30542.985,-12621.24,-12761.19,-36007.38,-25066.845,-22921.47
1764511894.1235623,-9526.68,-41298.345,-30539.79,-12617.235,-12757.23,-36003.645,-25063.38,-22918.23
1764511894.1235623,-9525.15,-41296.545,-30538.035,-12615.48,-12755.475,-36001.619999999995,-25061.895,-22915.62
1764511894.1235623,-9525.195,-41296.545,-30536.91,-12615.525,-12754.89,-36001.26,-25061.31,-22914.495
1764511894.1235623,-9523.665,-41295.015,-30536.37,-12615.21,-12753.945,-36000.314999999995,-25060.005,-22912.515
1764511894.1235623,-9522.945,-41293.485,-30535.425,-12614.58,-12752.595,-35998.92,-25060.005,-22910.895
