Timestamp,Channel1,Channel2,Channel3,Channel4,Channel5,Channel6,Channel7,Channel8
1764511425.5229228,-7452.63,-39547.8,-30410.415,-10488.645,-10452.69,-36590.265,-25342.83,-22220.37
1764511425.5229228,-7449.344999999999,-39546.585,-30409.425,-10486.8,-10450.935,-36589.77,-25340.625,-22217.22
1764511425.5229228,-7451.955,-39550.635,-30414.645,-10490.805,-10454.805,-36594.54,-25344.72,-22220.145
1764511425.5229228,-7454.429999999999,-39555.405,-30419.19,-10494.63,-10459.305,-36598.545,-25348.68,-22224.015
1764511425.5229228,-7458.21,-39559.59,-30423.555,-10498.095,-10463.625,-36602.37,-25352.91,-22226.265
1764511425.5229228,-7457.264999999999,-39557.88,-30421.395,-10496.34,-10462.59,-36600.345,-25352.73,-22225.23
1764511425.5229228,-7456.365,-39553.56,-30415.815,-10492.47,-10459.17,-36595.485,-25350.93,-22222.665
1764511425.5229228,-7450.785,-39550.5,-30413.52,-10488.915,-10454.445,-36592.965,-25346.79,-22218.39
1764511425.5229228,-7452.9,-39551.715,-30414.645,-10490.04,-10456.605,-36594.63,-25349.895,-22220.055
1764511425.5229228,-7448.985,-39547.89,-30411.585,-10486.53,-10453.365,-36591.75,-25346.97,-22216.095
1764511425.5229228,-7449.884999999999,-39547.935,-30411.27,-10486.53,-10454.13,-36590.715,-25348.365,-22215.78
1764511425.5229228,-7444.799999999999,-39540.96,-30404.43,-10480.185,-10447.83,-36583.47,-25343.1,-22209.255
1764511425.5229228,-7443.764999999999,-39544.29,-30408.435,-10482.165,-10449.09,-36587.565,-25344.18,-22210.29
1764511425.5229228,-7446.87,-39549.915,-30414.105,-10487.07,-10454.13,-36592.515,-25348.95,-22214.97
1764511425.5229228,-7442.594999999999,-39545.325,-30408.345,-10481.58,-10448.325,-36587.565,-25345.44,-22211.145
1764511425.5239296,-7441.605,-39543.93,-30406.545,-10479.825,-10446.57,-36586.845,-25344.27,-22209.795
1764511425.5239296,-7444.665,-39545.28,-30406.77,-10481.49,-10448.82,-36587.295,-25345.89,-22212.405
1764511425.5239296,-7444.349999999999,-39546.765,-30407.895,-10482.345,-10449.63,-36588.555,-25346.07,-22213.665
1764511425.5239296,-7443.855,-39547.44,-30408.93,-10482.39,-10450.44,-36589.86,-25346.655,-22213.755
1764511425.5239296,-7444.98,-39549.69,-30411.54,-10484.37,-10452.105,-36592.155,-25348.545,-22214.205
1764511425.5239296,-7444.08,-39548.97,-30410.46,-10483.965,-10451.07,-36591.705,-25348.275,-22213.305
1764511425.5239296,-7440.255,-39544.74,-30406.005,-10479.465,-10447.875,-36586.71,-25344.945,-22210.335
1764511425.5239296,-7445.519999999999,-39550.77,-30412.395,-10485.045,-10453.77,-36592.38,-25350.345,-22216.14
1764511425.569501,-7445.34,-39551.58,-30412.035,-10485.45,-10453.995,-36592.965,-25350.48,-22216.05
1764511425.570503,-7439.804999999999,-39542.355,-30401.955,-10477.62,-10446.345,-36583.11,-25344.315,-22209.615
1764511425.570503,-7440.165,-39541.77,-30402.09,-10477.08,-10446.48,-36582.39,-25343.865,-22210.245
1764511425.570503,-7443.315,-39547.845,-30407.895,-10482.165,-10450.98,-36588.69,-25348.14,-22214.43
1764511425.570503,-7444.08,-39548.115,-30407.58,-10481.94,-10450.89,-36588.195,-25348.005,-22214.835
1764511425.570503,-7440.344999999999,-39545.865,-30406.86,-10479.69,-10448.37,-36586.035,-25345.53,-22212.495
1764511425.5715034,-7445.34,-39552.165,-30412.215,-10485.405,-10453.995,-36591.255,-25350.39,-22218.57
1764511425.5715034,-7445.205,-39552.165,-30411.63,-10483.83,-10453.365,-36590.76,-25349.94,-22218.66
1764511425.5715034,-7439.985,-39546.945,-30407.04,-10478.565,-10448.955,-36586.53,-25345.62,-22214.16
1764511425.5715034,-7441.019999999999,-39547.575,-30407.76,-10478.745,-10449.855,-36586.44,-25346.385,-22215.6
1764511425.5715034,-7442.054999999999,-39548.295,-30408.12,-10478.79,-10449.045,-36586.395,-25345.44,-22216.545
1764511425.5715034,-7442.91,-39548.205,-30407.895,-10478.385,-10448.595,-36586.98,-25344.855,-22218.435
1764511425.5715034,-7447.815,-39553.74,-30413.43,-10483.38,-10454.04,-36592.29,-25350.12,-22224.105
1764511425.5725064,-7449.255,-39555.0,-30413.97,-10483.605,-10455.3,-36591.93,-25350.885,-22225.41
1764511425.5725064,-7449.075,-39555.27,-30414.24,-10483.38,-10455.345,-36592.425,-25350.255,-22226.445
1764511425.5725064,-7446.69,-39552.255,-30410.865,-10480.095,-10452.465,-36589.95,-25346.745,-22225.185
1764511425.5725064,-7451.505,-39555.99,-30414.105,-10483.695,-10456.56,-36593.775,-25350.165,-22229.325
1764511425.5725064,-7450.469999999999,-39554.865,-30412.665,-10482.525,-10455.525,-36592.155,-25348.32,-22228.47
1764511425.5725064,-7446.195,-39551.265,-30409.29,-10477.44,-10451.25,-36587.34,-25344.18,-22225.815
1764511425.5725064,-7449.48,-39553.2,-30410.865,-10478.7,-10451.745,-36588.015,-25345.53,-22228.38
1764511425.5725064,-7453.844999999999,-39557.52,-30414.555,-10482.525,-10455.39,-36591.21,-25349.085,-22232.745
