Timestamp,Channel1,Channel2,Channel3,Channel4,Channel5,Channel6,Channel7,Channel8
1764762575.8270864,-10265.445,-9732.645,2560.455,-6029.145,-13372.38,-31077.675,-14457.87,-13227.39
1764762575.8270864,-10263.51,-9732.51,2558.835,-6030.179999999999,-13375.305,-31081.635,-14459.31,-13227.84
1764762575.8270864,-10262.295,-9731.115,2560.95,-6029.28,-13375.08,-31082.85,-14459.67,-13227.93
1764762575.8270864,-10263.69,-9733.095,2558.835,-6031.035,-13376.115,-31083.165,-14459.49,-13228.965
1764762575.8270864,-10266.255,-9737.415,2554.605,-6035.264999999999,-13380.39,-31086.945,-14459.85,-13230.495
1764762575.8270864,-10273.815,-9744.39,2547.405,-6042.105,-13387.41,-31091.67,-14467.14,-13237.74
1764762575.8270864,-10275.705,-9745.695,2546.01,-6042.96,-13388.265,-31090.635,-14468.895,-13239.99
1764762575.8280833,-10271.745,-9741.51,2550.195,-6038.955,-13383.765,-31084.875,-14465.475,-13236.12
1764762575.8280833,-10271.07,-9741.645,2550.285,-6038.37,-13383.63,-31084.02,-14466.105,-13236.12
1764762575.8280833,-10272.105,-9741.51,2549.88,-6039.45,-13383.63,-31085.01,-14467.095,-13236.615
1764762575.8280833,-10274.13,-9742.77,2548.305,-6041.655,-13386.42,-31089.69,-14468.94,-13238.415
1764762575.8280833,-10277.325,-9745.515,2545.695,-6044.625,-13390.515,-31096.53,-14473.62,-13241.34
1764762575.8280833,-10274.76,-9744.435,2545.695,-6044.76,-13392.045,-31099.23,-14471.865,-13237.245
1764762575.8280833,-10277.19,-9745.38,2545.515,-6045.165,-13391.055,-31097.205,-14473.305,-13243.68
1764762575.8280833,-10281.645,-9748.845,2542.14,-6048.945,-13394.79,-31100.49,-14477.49,-13247.865
1764762575.8280833,-10280.835,-9747.675,2542.905,-6047.55,-13393.755,-31098.825,-14475.96,-13245.03
1764762575.8280833,-10287.045,-9754.695,2535.93,-6052.905,-13397.805,-31101.12,-14480.82,-13250.565
1764762575.8280833,-10286.01,-9753.57,2537.505,-6050.61,-13394.745,-31096.215,-14478.165,-13248.72
1764762575.8280833,-10287.9,-9757.62,2531.745,-6056.82,-13401.09,-31102.47,-14485.095,-13250.205
1764762575.8280833,-10289.97,-9760.815,2529.585,-6059.25,-13405.68,-31109.175,-14487.435,-13247.82
1764762575.8280833,-10290.465,-9754.065,2537.73,-6051.24,-13399.38,-31104.27,-14486.4,-13254.075
1764762575.8280833,-10280.07,-9743.355,2547.585,-6041.969999999999,-13388.895,-31095.765,-14475.105,-13246.65
1764762575.8280833,-10284.03,-9749.295,2541.105,-6048.09,-13395.465,-31102.83,-14477.895,-13247.19
1764762575.8280833,-10288.125,-9753.93,2536.11,-6053.355,-13401.135,-31109.715,-14484.51,-13252.05
1764762575.873152,-10286.145,-9752.715,2537.595,-6051.24,-13398.165,-31104.315,-14482.62,-13251.24
