Timestamp,Channel1,Channel2,Channel3,Channel4,Channel5,Channel6
1764769086.6127586,-203762.52,-203951.88,-231247.98,-243590.22,-208862.595,-196664.715
1764769086.6127586,-203798.745,-203987.565,-231228.99,-243581.67,-208876.095,-196653.105
1764769086.6127586,-203725.98,-203915.07,-231125.22,-243478.98,-208789.47,-196548.075
1764769086.6127586,-203690.565,-203879.79,-231096.735,-243446.04,-208759.77,-196512.435
1764769086.6127586,-203608.44,-203798.88,-231086.475,-243423.18,-208720.035,-196488.27
1764769086.6127586,-203522.22,-203713.065,-231074.595,-243397.17,-208667.25,-196461.765
1764769086.6127586,-203528.115,-203719.275,-231128.235,-243443.88,-208691.91,-196507.845
1764769086.6127586,-203566.77,-203758.065,-231182.415,-243498.105,-208735.11,-196562.115
1764769086.6127586,-203587.515,-203778.585,-231178.32,-243499.095,-208739.88,-196563.915
1764769086.6127586,-203659.245,-203849.73,-231182.415,-243513.495,-208774.53,-196578.99
1764769086.6127586,-203772.96,-203963.13,-231237.315,-243580.545,-208863.36,-196644.015
1764769086.6127586,-203813.325,-204003.045,-231231.42,-243583.515,-208886.76,-196643.655
1764769086.6127586,-203761.575,-203950.755,-231157.395,-243510.66,-208827.315,-196567.74
1764769086.6127586,-203705.865,-203895.315,-231105.915,-243455.265,-208775.205,-196509.915
1764769086.6127586,-203641.965,-203832.315,-231109.56,-243446.715,-208748.43,-196499.025
1764769086.6127586,-203588.73,-203780.295,-231131.7,-243456.615,-208731.87,-196507.53
1764769086.6127586,-203571.09,-203762.97,-231167.115,-243484.515,-208737.135,-196535.385
1764769086.6127586,-203602.32,-203793.705,-231216.435,-243532.665,-208773.405,-196584.255
1764769086.6127586,-203675.22,-203866.425,-231275.07,-243595.935,-208837.305,-196648.11
1764769086.6127586,-203753.115,-203943.96,-231295.815,-243628.74,-208885.455,-196680.06
1764769086.6127586,-203802.525,-203992.92,-231271.065,-243615.78,-208898.1,-196666.11
1764769086.6127586,-203830.425,-204020.235,-231243.885,-243596.745,-208902.24,-196644.78
1764769086.6127586,-203823.54,-204013.395,-231214.995,-243569.835,-208889.19,-196615.215
1764769086.6587632,-203801.805,-203992.38,-231223.185,-243573.345,-208888.47,-196614.54
1764769086.6587632,-203720.895,-203912.505,-231217.515,-243554.49,-208846.89,-196592.805
1764769086.6587632,-203651.415,-203843.52,-231227.64,-243550.755,-208814.04,-196588.215
1764769086.6587632,-203588.46,-203780.88,-231203.43,-243519.615,-208763.685,-196558.47
1764769086.6587632,-203588.64,-203780.43,-231195.78,-243511.695,-208752.75,-196552.665
1764769086.6587632,-203632.11,-203823.945,-231215.13,-243535.59,-208783.98,-196579.17
1764769086.6592703,-203707.215,-203898.915,-231222.06,-243554.85,-208821.825,-196597.53
1764769086.6592703,-203734.44,-203925.285,-231170.22,-243514.845,-208810.26,-196556.445
1764769086.6592703,-203766.39,-203956.245,-231141.42,-243493.605,-208815.795,-196533.45
1764769086.6592703,-203800.995,-203990.895,-231173.1,-243526.59,-208857.24,-196561.935
1764769086.6592703,-203778.72,-203968.98,-231180.3,-243530.145,-208855.98,-196560.72
1764769086.6592703,-203704.56,-203895.945,-231179.895,-243517.275,-208821.915,-196544.34
1764769086.6592703,-203624.235,-203816.295,-231177.6,-243501.03,-208780.155,-196528.23
1764769086.6592703,-203605.47,-203797.755,-231197.4,-243514.935,-208773.045,-196541.46
1764769086.6592703,-203641.74,-203834.205,-231248.205,-243565.29,-208811.97,-196591.005
1764769086.6592703,-203649.03,-203840.955,-231225.975,-243547.875,-208800.315,-196574.445
1764769086.6592703,-203712.795,-203904.09,-231211.62,-243545.13,-208822.14,-196572.015
1764769086.6592703,-203817.645,-204008.265,-231253.695,-243599.31,-208900.755,-196623.9
1764769086.6592703,-203856.795,-204046.965,-231247.98,-243601.83,-208923.3,-196622.685
1764769086.6592703,-203863.275,-204053.265,-231237.765,-243593.73,-208926.45,-196610.22
1764769086.6592703,-203841.045,-204031.485,-231244.605,-243596.07,-208924.245,-196606.89
1764769086.6592703,-203759.775,-203951.115,-231239.52,-243577.62,-208883.475,-196584.57
1764769086.7053182,-203688.0,-203879.925,-231246.585,-243570.555,-208847.295,-196576.02
1764769086.7053182,-203611.41,-203803.74,-231204.015,-243521.1,-208780.065,-196527.195
1764769086.7053182,-203608.215,-203800.41,-231189.435,-243505.98,-208763.37,-196513.83
1764769086.7053182,-203643.81,-203835.645,-231193.305,-243515.07,-208780.2,-196523.685
1764769086.7053182,-203709.285,-203900.04,-231181.155,-243515.115,-208804.905,-196523.37
1764769086.7053182,-203767.38,-203957.46,-231168.105,-243513.72,-208831.185,-196519.77
1764769086.7053182,-203809.59,-203999.49,-231155.64,-243509.04,-208850.895,-196511.895
1764769086.7053182,-203789.52,-203979.645,-231120.045,-243475.29,-208829.97,-196473.78
1764769086.7053182,-203725.485,-203916.195,-231070.68,-243420.525,-208776.6,-196415.055
1764769086.7053182,-203655.645,-203847.12,-231074.37,-243410.85,-208746.9,-196401.555
1764769086.7053182,-203600.16,-203792.13,-231099.12,-243421.83,-208729.53,-196410.825
1764769086.7053182,-203591.34,-203783.805,-231139.17,-243455.13,-208741.95,-196443.495
1764769086.7053182,-203629.005,-203821.2,-231189.03,-243505.26,-208782.675,-196492.545
1764769086.7053182,-203649.93,-203841.945,-231183.36,-243504.99,-208786.815,-196491.96
1764769086.7053182,-203714.28,-203905.53,-231170.04,-243503.685,-208809.045,-196489.845
1764769086.7053182,-203763.555,-203954.04,-231146.505,-243492.03,-208824.795,-196475.445
1764769086.7053182,-203801.625,-203991.57,-231131.205,-243483.39,-208841.13,-196463.475
1764769086.7053182,-203843.07,-204033.105,-231171.3,-243525.015,-208890.54,-196499.61
1764769086.7053182,-203824.44,-204015.105,-231185.7,-243536.04,-208894.995,-196504.425
1764769086.7053182,-203720.805,-203912.1,-231153.39,-243490.545,-208828.17,-196454.61
1764769086.7053182,-203659.2,-203851.035,-231164.955,-243488.295,-208798.92,-196450.47
1764769086.7053182,-203637.735,-203830.065,-231183.765,-243501.39,-208793.025,-196462.53
1764769086.7517076,-203664.33,-203856.39,-231219.945,-243537.03,-208819.395,-196497.63
1764769086.7517076,-203743.215,-203934.87,-231279.795,-243602.37,-208886.76,-196561.98
1764769086.7517076,-203813.01,-204003.765,-231289.605,-243624.06,-208926.135,-196581.78
1764769086.7517076,-203822.37,-204012.225,-231217.38,-243562.77,-208894.005,-196519.005
1764769086.7517076,-203868.495,-204058.17,-231205.185,-243558.045,-208914.48,-196511.265
1764769086.7517076,-203910.435,-204100.38,-231240.51,-243596.07,-208961.64,-196543.53
1764769086.7517076,-203885.055,-204075.63,-231251.445,-243602.19,-208961.19,-196543.98
1764769086.7517076,-203745.24,-203936.625,-231179.58,-243516.555,-208855.305,-196455.285
