Timestamp,Channel1,Channel2,Channel3,Channel4,Channel5,Channel6,Channel7,Channel8
1764434190.8471055,32217.93,19431.135,61999.38,-6273.179999999999,-33350.4,-46070.55,-6958.889999999999,11806.56
1764434190.8480968,32219.46,19428.795,61995.195,-6274.755,-33350.085,-46069.335,-6971.04,11802.33
1764434190.8480968,32226.975,19434.6,62000.73,-6268.005,-33343.425,-46061.73,-6970.275,11807.055
1764434190.8480968,32225.76,19434.42,62001.18,-6267.51,-33343.155,-46061.19,-6968.655,11806.605
1764434190.8480968,32218.875,19430.46,61999.875,-6270.12,-33346.575,-46064.475,-6965.594999999999,11804.085
1764434190.8480968,32214.645,19429.65,62000.505,-6271.605,-33349.275,-46068.525,-6957.63,11804.94
1764434190.8480968,32211.135,19430.64,62001.81,-6272.505,-33351.03,-46073.565,-6947.325,11806.83
1764434190.8480968,32212.935,19434.105,62005.095,-6270.66,-33350.04,-46072.755,-6939.945,11810.97
1764434190.8480968,32216.13,19436.355,62005.95,-6269.49,-33348.015,-46070.595,-6940.125,11813.445
1764434190.8480968,32216.31,19433.205,62002.17,-6271.605,-33348.735,-46070.775,-6948.675,11810.25
1764434190.8480968,32216.4,19429.695,61997.895,-6273.675,-33348.69,-46068.84,-6958.259999999999,11806.11
1764434190.8480968,32224.41,19433.88,62000.46,-6268.455,-33342.39,-46061.145,-6964.83,11807.955
1764434190.8490877,32228.46,19435.905,62001.99,-6265.08,-33339.6,-46057.365,-6967.62,11808.495
1764434190.8490877,32223.96,19432.62,61999.02,-6267.51,-33343.425,-46061.145,-6968.88,11804.22
1764434190.8490877,32222.745,19434.06,62002.35,-6266.25,-33343.155,-46062.0,-6961.365,11806.515
1764434190.8490877,32220.945,19436.13,62005.995,-6264.405,-33342.615,-46063.44,-6951.42,11810.205
1764434190.8490877,32213.25,19432.71,62004.06,-6268.995,-33348.06,-46070.145,-6945.344999999999,11808.855
1764434190.8490877,32210.955,19432.08,62003.925,-6270.48,-33349.95,-46071.495,-6941.79,11808.855
1764434190.8490877,32217.345,19437.525,62008.245,-6266.07,-33344.595,-46065.195,-6937.695,11814.66
1764434190.8490877,32214.96,19431.99,62001.0,-6271.695,-33347.205,-46067.445,-6948.63,11809.215
1764434190.8495948,32220.72,19434.33,62001.495,-6267.96,-33343.38,-46062.405,-6954.165,11810.61
1764434190.8495948,32222.52,19432.305,61998.3,-6269.94,-33343.11,-46061.235,-6967.304999999999,11806.515
1764434190.8495948,32226.795,19435.095,62001.495,-6266.88,-33339.015,-46056.105,-6969.33,11807.64
1764434190.8495948,32223.87,19433.565,62000.145,-6267.87,-33341.58,-46058.445,-6968.88,11805.885
