Timestamp,GyroX,GyroY,GyroZ,AccX,AccY,AccZ
1764434892.9829347,-1.34288,3.78448,1.17502,0.6176742000000001,-0.70934877,-0.355284735
1764434892.9829347,-1.34288,3.78448,1.17502,0.6176742000000001,-0.70934877,-0.355284735
1764434892.9829347,-1.34288,3.78448,1.17502,0.6176742000000001,-0.70934877,-0.355284735
1764434892.9829347,-1.34288,3.78448,1.17502,0.6176742000000001,-0.70934877,-0.355284735
1764434892.9829347,-1.34288,3.78448,1.17502,0.6176742000000001,-0.70934877,-0.355284735
1764434892.9829347,-1.34288,3.78448,1.17502,0.6176742000000001,-0.70934877,-0.355284735
1764434892.9829347,-1.34288,3.78448,1.17502,0.6176742000000001,-0.70934877,-0.355284735
1764434892.9829347,-1.34288,3.78448,1.17502,0.6176742000000001,-0.70934877,-0.355284735
1764434892.9829347,-1.0682,3.57084,1.03768,0.617491095,-0.709653945,-0.35497956
1764434892.9829347,-1.0682,3.57084,1.03768,0.617491095,-0.709653945,-0.35497956
1764434892.9829347,-1.0682,3.57084,1.03768,0.617491095,-0.709653945,-0.35497956
1764434892.9829347,-1.0682,3.57084,1.03768,0.617491095,-0.709653945,-0.35497956
1764434892.9829347,-1.0682,3.57084,1.03768,0.617491095,-0.709653945,-0.35497956
1764434892.9829347,-1.0682,3.57084,1.03768,0.617491095,-0.709653945,-0.35497956
1764434892.983953,-1.0682,3.57084,1.03768,0.617491095,-0.709653945,-0.35497956
1764434892.983953,-1.0682,3.57084,1.03768,0.617491095,-0.709653945,-0.35497956
1764434892.983953,-1.0682,3.57084,1.03768,0.617491095,-0.709653945,-0.35497956
1764434892.983953,-1.0682,3.57084,1.03768,0.617491095,-0.709653945,-0.35497956
1764434892.983953,-0.25942,4.303319999999999,1.02242,0.61743006,-0.70959291,-0.35510163
1764434892.983953,-0.25942,4.303319999999999,1.02242,0.61743006,-0.70959291,-0.35510163
1764434892.983953,-0.25942,4.303319999999999,1.02242,0.61743006,-0.70959291,-0.35510163
1764434892.983953,-0.25942,4.303319999999999,1.02242,0.61743006,-0.70959291,-0.35510163
1764434893.0329485,-0.25942,4.303319999999999,1.02242,0.61743006,-0.70959291,-0.35510163
1764434893.0329485,-0.25942,4.303319999999999,1.02242,0.61743006,-0.70959291,-0.35510163
1764434893.0329485,-0.25942,4.303319999999999,1.02242,0.61743006,-0.70959291,-0.35510163
1764434893.0329485,-0.25942,4.303319999999999,1.02242,0.61743006,-0.70959291,-0.35510163
1764434893.0329485,-0.25942,4.303319999999999,1.02242,0.61743006,-0.70959291,-0.35510163
1764434893.0329485,-0.25942,4.303319999999999,1.02242,0.61743006,-0.70959291,-0.35510163
1764434893.0339563,-0.21364,3.9676,1.05294,0.617613165,-0.70934877,-0.355895085
1764434893.0339563,-0.21364,3.9676,1.05294,0.617613165,-0.70934877,-0.355895085
1764434893.0339563,-0.21364,3.9676,1.05294,0.617613165,-0.70934877,-0.355895085
1764434893.0339563,-0.21364,3.9676,1.05294,0.617613165,-0.70934877,-0.355895085
1764434893.0339563,-0.21364,3.9676,1.05294,0.617613165,-0.70934877,-0.355895085
1764434893.0339563,-0.21364,3.9676,1.05294,0.617613165,-0.70934877,-0.355895085
1764434893.0339563,-0.21364,3.9676,1.05294,0.617613165,-0.70934877,-0.355895085
1764434893.0339563,-0.21364,3.9676,1.05294,0.617613165,-0.70934877,-0.355895085
1764434893.0339563,-0.21364,3.9676,1.05294,0.617613165,-0.70934877,-0.355895085
1764434893.0339563,-0.21364,3.9676,1.05294,0.617613165,-0.70934877,-0.355895085
1764434893.0339563,0.04578,3.46402,0.6867,0.61779627,-0.70873842,-0.355040595
1764434893.0339563,0.04578,3.46402,0.6867,0.61779627,-0.70873842,-0.355040595
1764434893.0339563,0.04578,3.46402,0.6867,0.61779627,-0.70873842,-0.355040595
1764434893.0339563,0.04578,3.46402,0.6867,0.61779627,-0.70873842,-0.355040595
1764434893.0339563,0.04578,3.46402,0.6867,0.61779627,-0.70873842,-0.355040595
1764434893.0339563,0.04578,3.46402,0.6867,0.61779627,-0.70873842,-0.355040595
1764434893.0339563,0.04578,3.46402,0.6867,0.61779627,-0.70873842,-0.355040595
1764434893.0339563,0.04578,3.46402,0.6867,0.61779627,-0.70873842,-0.355040595
1764434893.0339563,0.04578,3.46402,0.6867,0.61779627,-0.70873842,-0.355040595
1764434893.0339563,0.04578,3.46402,0.6867,0.61779627,-0.70873842,-0.355040595
1764434893.0798397,-0.10682,3.69292,0.51884,0.61791834,-0.70898256,-0.354552315
1764434893.0798397,-0.10682,3.69292,0.51884,0.61791834,-0.70898256,-0.354552315
1764434893.0798397,-0.10682,3.69292,0.51884,0.61791834,-0.70898256,-0.354552315
1764434893.0798397,-0.10682,3.69292,0.51884,0.61791834,-0.70898256,-0.354552315
1764434893.0798397,-0.10682,3.69292,0.51884,0.61791834,-0.70898256,-0.354552315
1764434893.0798397,-0.10682,3.69292,0.51884,0.61791834,-0.70898256,-0.354552315
1764434893.0798397,-0.10682,3.69292,0.51884,0.61791834,-0.70898256,-0.354552315
1764434893.0798397,-0.10682,3.69292,0.51884,0.61791834,-0.70898256,-0.354552315
1764434893.0798397,-0.10682,3.69292,0.51884,0.61791834,-0.70898256,-0.354552315
1764434893.0798397,-0.10682,3.69292,0.51884,0.61791834,-0.70898256,-0.354552315
1764434893.0798397,-0.71722,3.93708,0.8392999999999999,0.618101445,-0.709653945,-0.354430245
