Timestamp,Channel1,Channel2,Channel3,Channel4,Channel5,Channel6,Channel7,Channel8
1764434502.867388,29390.76,16177.455,58995.18,-7244.865,-34662.42,-45406.485,-7608.554999999999,10556.055
1764434502.867388,29385.36,16174.53,58993.38,-7248.554999999999,-34666.47,-45410.67,-7605.945,10554.21
1764434502.867388,29381.355,16173.495,58993.47,-7250.219999999999,-34668.63,-45415.17,-7598.429999999999,10555.29
1764434502.867388,29376.99,16172.955,58994.865,-7252.065,-34671.24,-45418.95,-7587.224999999999,10558.845
1764434502.867388,29370.285,16169.31,58991.805,-7257.644999999999,-34677.27,-45425.745,-7581.96,10558.665
1764434502.867388,29367.36,16165.215,58987.665,-7262.144999999999,-34681.095,-45430.605,-7584.84,10555.11
1764434502.867388,29375.595,16171.335,58992.48,-7256.295,-34674.165,-45423.045,-7584.75,10560.06
1764434502.867388,29379.105,16172.46,58992.075,-7253.55,-34670.655,-45419.895,-7592.13,10558.845
1764434502.867388,29384.505,16174.755,58992.48,-7249.365,-34665.255,-45414.045,-7601.535,10556.955
1764434502.867388,29387.79,16175.07,58992.705,-7247.115,-34662.645,-45409.995,-7609.769999999999,10554.255
1764434502.867388,29388.51,16175.295,58993.605,-7246.17,-34662.375,-45409.05,-7609.95,10553.49
1764434502.867388,29386.305,16175.88,58994.46,-7246.665,-34663.815,-45410.355,-7604.099999999999,10554.93
1764434502.867388,29385.045,16177.635,58997.43,-7246.215,-34663.994999999995,-45410.67,-7593.57,10559.385
1764434502.867388,29377.98,16174.26,58995.675,-7251.344999999999,-34669.619999999995,-45417.78,-7586.594999999999,10559.205
1764434502.867388,29368.26,16167.195,58990.095,-7260.165,-34679.655,-45427.95,-7585.605,10555.515
1764434502.867388,29368.17,16166.385,58988.385,-7262.415,-34680.69,-45429.345,-7585.559999999999,10555.11
1764434502.867388,29376.135,16172.55,58992.66,-7256.565,-34673.445,-45421.245,-7585.245,10559.61
1764434502.867388,29380.41,16174.53,58993.47,-7254.675,-34670.565,-45417.87,-7592.58,10558.17
1764434502.867388,29386.845,16177.185,58994.73,-7250.219999999999,-34665.255,-45410.31,-7601.264999999999,10557.135
1764434502.867388,29390.895,16178.535,58995.27,-7246.44,-34660.89,-45405.135,-7607.88,10555.83
1764434502.867388,29388.285,16175.205,58993.785,-7247.61,-34662.825,-45407.52,-7610.04,10551.87
1764434502.867388,29389.005,16177.365,58997.7,-7245.045,-34662.375,-45406.35,-7601.804999999999,10555.92
1764434502.867388,29384.19,16176.06,58997.205,-7247.745,-34666.065,-45411.03,-7594.11,10557.18
1764434502.867388,29377.755,16173.72,58996.26,-7251.48,-34670.79,-45417.105,-7584.75,10558.935
1764434502.9125051,29371.5,16169.625,58992.84,-7256.79,-34676.775,-45424.215,-7581.105,10558.26
1764434502.9125051,29369.115,16167.33,58989.78,-7260.75,-34680.645,-45427.77,-7584.255,10555.605
1764434502.9125051,29375.235,16171.11,58992.48,-7257.195,-34675.74,-45422.685,-7586.684999999999,10558.125
1764434502.9125051,29376.585,16168.995,58989.06,-7257.87,-34675.335,-45421.74,-7597.349999999999,10553.445
1764434502.9125051,29382.75,16171.245,58989.96,-7252.559999999999,-34669.935,-45415.845,-7606.17,10551.69
1764434502.91405,29389.545,16176.105,58993.965,-7246.259999999999,-34663.815,-45408.285,-7609.86,10553.13
1764434502.91405,29394.585,16181.73,58999.86,-7240.905,-34657.74,-45402.03,-7604.91,10558.215
1764434502.91405,29390.58,16179.705,59000.31,-7242.705,-34660.305,-45405.27,-7600.23,10557.945
1764434502.91405,29381.67,16172.91,58995.36,-7249.995,-34668.36,-45414.585,-7597.62,10554.435
1764434502.9150734,29375.055,16170.66,58993.605,-7254.675,-34673.445,-45421.695,-7588.98,10555.245
1764434502.9150734,29370.285,16168.59,58991.895,-7258.905,-34678.44,-45427.095,-7583.58,10556.19
1764434502.9150734,29371.185,16168.635,58991.76,-7259.49,-34678.485,-45427.275,-7582.769999999999,10557.045
1764434502.9150734,29376.99,16172.37,58993.56,-7255.71,-34674.435,-45422.505,-7585.559999999999,10559.385
1764434502.9160852,29376.945,16168.995,58988.385,-7258.094999999999,-34676.145,-45423.09,-7598.16,10553.49
1764434502.9160852,29384.595,16172.595,58991.13,-7252.38,-34669.665,-45415.665,-7605.945,10552.815
1764434502.9160852,29393.055,16178.67,58996.62,-7244.639999999999,-34661.205,-45406.53,-7607.429999999999,10555.74
1764434502.916741,29391.255,16177.905,58996.035,-7245.54,-34661.97,-45407.025,-7607.745,10554.12
1764434502.916741,29391.12,16180.245,58999.77,-7243.019999999999,-34660.98,-45406.125,-7599.15,10557.9
1764434502.916741,29386.35,16178.67,58999.32,-7245.045,-34665.03,-45410.85,-7592.58,10559.25
1764434502.916741,29379.105,16175.835,58997.925,-7249.634999999999,-34670.835,-45417.33,-7584.75,10560.87
1764434502.916741,29373.84,16172.64,58994.505,-7254.764999999999,-34676.46,-45422.955,-7580.115,10561.05
1764434502.916741,29375.235,16172.685,58994.1,-7255.259999999999,-34676.505,-45422.325,-7579.62,10561.32
1764434502.9177554,29376.27,16171.695,58992.57,-7255.44,-34675.695,-45420.795,-7587.315,10559.205
1764434502.9177554,29378.97,16170.93,58990.32,-7256.205,-34674.705,-45418.815,-7597.17,10555.29
1764434502.9581628,29382.93,16171.425,58989.06,-7254.045,-34671.555,-45414.495,-7608.15,10552.095
1764434502.9581628,29390.625,16176.78,58993.695,-7246.485,-34664.22,-45405.81,-7610.264999999999,10554.57
1764434502.9581628,29389.185,16175.475,58993.785,-7247.25,-34664.805,-45407.115,-7610.804999999999,10553.085
1764434502.9581628,29389.86,16178.535,58998.78,-7244.684999999999,-34663.23,-45406.08,-7601.58,10557.495
1764434502.9581628,29381.355,16173.855,58995.315,-7250.849999999999,-34669.845,-45414.315,-7598.34,10554.57
1764434502.9581628,29373.57,16169.85,58992.165,-7256.34,-34676.46,-45422.1,-7591.365,10554.435
1764434502.9581628,29370.51,16168.455,58991.31,-7259.309999999999,-34679.43,-45425.475,-7584.66,10556.685
1764434502.9581628,29367.18,16164.765,58986.72,-7263.495,-34683.03,-45429.615,-7588.53,10553.13
1764434502.9581628,29373.075,16168.5,58988.385,-7259.309999999999,-34678.485,-45424.845,-7590.554999999999,10555.38
1764434502.9581628,29377.8,16170.075,58988.52,-7256.79,-34675.11,-45420.75,-7598.34,10554.3
1764434502.9581628,29385.045,16173.495,58991.13,-7251.884999999999,-34668.765,-45413.055,-7606.665,10553.67
1764434502.9581628,29391.435,16177.005,58994.595,-7246.17,-34662.6,-45405.945,-7609.995,10555.02
1764434502.9602067,29391.795,16176.78,58996.26,-7244.73,-34661.97,-45405.315,-7609.139999999999,10554.3
1764434502.9602067,29386.53,16174.26,58995.27,-7247.655,-34666.065,-45410.445,-7606.259999999999,10553.355
1764434502.9602067,29379.735,16170.705,58992.885,-7252.065,-34670.925,-45416.34,-7600.455,10552.68
1764434502.9611998,29369.745,16164.63,58987.35,-7260.84,-34679.52,-45426.915,-7595.639999999999,10549.98
1764434502.9611998,29368.125,16165.8,58988.475,-7262.955,-34681.23,-45429.48,-7587.719999999999,10553.4
1764434502.9611998,29369.7,16167.06,58988.88,-7262.415,-34680.6,-45428.715,-7586.91,10554.705
1764434502.9611998,29374.47,16168.905,58988.97,-7259.355,-34678.44,-45425.385,-7591.815,10554.615
1764434502.9611998,29374.92,16166.07,58984.965,-7261.065,-34678.619999999995,-45425.115,-7603.065,10549.755
1764434502.9611998,29380.725,16168.185,58985.82,-7256.61,-34673.355,-45419.13,-7611.84,10548.945
1764434502.9611998,29385.27,16170.93,58988.61,-7251.705,-34668.18,-45412.965,-7616.25,10548.72
1764434502.9611998,29387.565,16173.855,58991.4,-7249.23,-34665.119999999995,-45410.085,-7613.054999999999,10550.79
1764434502.9611998,29388.465,16177.32,58995.855,-7246.304999999999,-34663.14,-45408.78,-7603.424999999999,10555.695
1764434503.007394,29382.21,16173.27,58993.065,-7250.355,-34668.63,-45414.945,-7597.799999999999,10555.38
1764434503.007394,29372.49,16167.285,58988.61,-7258.32,-34677.27,-45424.845,-7592.264999999999,10552.68
1764434503.007394,29369.835,16167.33,58988.745,-7260.615,-34679.97,-45427.68,-7585.11,10555.47
1764434503.007394,29370.06,16166.565,58988.52,-7262.415,-34680.78,-45429.345,-7585.92,10555.92
1764434503.007394,29373.3,16167.555,58988.385,-7260.84,-34678.215,-45426.87,-7591.455,10554.975
1764434503.007394,29374.605,16166.295,58984.92,-7261.38,-34678.215,-45424.98,-7602.57,10550.565
1764434503.007394,29378.475,16165.62,58982.985,-7259.175,-34675.38,-45421.02,-7614.9,10546.425
1764434503.007394,29384.46,16168.005,58986.09,-7254.315,-34670.16,-45415.395,-7618.905,10546.605
1764434503.007394,29384.46,16169.31,58987.935,-7252.514999999999,-34668.494999999995,-45413.91,-7616.205,10547.775
1764434503.007394,29379.915,16167.78,58988.07,-7253.865,-34670.7,-45417.105,-7611.344999999999,10546.965
1764434503.007394,29374.83,16165.62,58987.53,-7256.88,-34674.435,-45422.145,-7604.054999999999,10547.28
1764434503.007394,29369.295,16162.605,58987.305,-7260.884999999999,-34679.744999999995,-45427.59,-7594.92,10549.485
1764434503.007394,29367.18,16162.38,58987.305,-7263.134999999999,-34682.265,-45430.695,-7588.665,10552.725
1764434503.007394,29364.435,16160.265,58983.615,-7266.78,-34685.505,-45433.62,-7591.32,10550.07
1764434503.007394,29369.835,16163.82,58985.505,-7262.865,-34681.14,-45428.895,-7594.83,10550.655
1764434503.007394,29373.03,16163.46,58983.66,-7261.965,-34679.07,-45425.655,-7604.28,10547.91
1764434503.007394,29376.72,16163.595,58982.4,-7259.94,-34676.64,-45421.65,-7616.115,10544.085
1764434503.007394,29384.505,16168.905,58987.08,-7253.46,-34669.215,-45414.045,-7617.69,10546.65
