Timestamp,Channel1,Channel2,Channel3,Channel4,Channel5,Channel6
1764433878.799605,-212479.695,-213181.155,-205004.97,-220892.805,-216114.3,-210193.92
1764433878.799605,-212489.82,-213189.03,-205031.79,-220888.755,-216101.295,-210182.715
1764433878.799605,-212529.33,-213225.84,-205023.96,-220872.195,-216086.22,-210167.01
1764433878.799605,-212572.62,-213268.59,-205001.19,-220865.22,-216085.455,-210165.795
1764433878.799605,-212612.49,-213309.27,-204961.59,-220855.545,-216079.785,-210161.295
1764433878.799605,-212639.85,-213336.855,-204902.1,-220829.895,-216057.33,-210138.525
1764433878.799605,-212675.535,-213371.73,-204850.845,-220793.58,-216035.865,-210108.915
1764433878.799605,-212665.41,-213363.09,-204872.13,-220804.605,-216051.615,-210118.995
1764433878.799605,-212596.515,-213295.86,-204931.53,-220840.29,-216083.925,-210149.82
1764433878.799605,-212513.85,-213214.095,-204998.76,-220881.375,-216118.89,-210185.64
1764433878.799605,-212456.52,-213157.575,-205061.22,-220919.895,-216149.67,-210220.02
1764433878.799605,-212423.265,-213125.13,-205100.145,-220948.29,-216162.765,-210242.115
1764433878.799605,-212429.925,-213130.89,-205087.365,-220951.17,-216160.74,-210246.93
1764433878.799605,-212469.48,-213169.635,-205041.645,-220941.315,-216152.415,-210243.015
1764433878.799605,-212518.305,-213217.2,-204984.09,-220927.995,-216139.365,-210234.87
1764433878.799605,-212555.475,-213253.02,-204910.605,-220899.15,-216111.375,-210209.085
1764433878.799605,-212599.44,-213295.815,-204849.27,-220860.54,-216085.995,-210177.315
1764433878.8006084,-212607.225,-213304.455,-204844.095,-220846.725,-216077.445,-210162.78
1764433878.8006084,-212582.295,-213280.65,-204877.395,-220847.67,-216077.985,-210158.73
1764433878.8006084,-212542.29,-213241.77,-204925.995,-220853.115,-216082.395,-210158.595
1764433878.8006084,-212523.93,-213223.635,-204979.635,-220859.37,-216088.155,-210160.485
1764433878.8449917,-212516.055,-213214.545,-205033.5,-220880.34,-216099.405,-210174.21
1764433878.8449917,-212519.655,-213217.155,-205042.275,-220887.99,-216105.705,-210183.21
1764433878.8449917,-212551.695,-213249.78,-205013.07,-220881.51,-216103.545,-210182.445
1764433878.8449917,-212592.645,-213290.82,-204967.305,-220869.855,-216094.68,-210175.74
1764433878.8449917,-212621.67,-213317.865,-204901.065,-220840.29,-216067.995,-210150.0
1764433878.8449917,-212660.055,-213355.08,-204847.92,-220804.02,-216045.99,-210120.165
1764433878.8449917,-212649.255,-213346.8,-204867.045,-220814.28,-216060.345,-210128.985
1764433878.8449917,-212580.945,-213280.83,-204924.78,-220850.1,-216092.25,-210159.945
1764433878.8449917,-212499.72,-213201.495,-204990.12,-220890.33,-216126.495,-210195.18
1764433878.8449917,-212443.74,-213145.785,-205052.13,-220928.22,-216157.32,-210229.38
1764433878.8449917,-212414.04,-213114.51,-205092.18,-220958.415,-216171.99,-210253.14
1764433878.8460116,-212423.355,-213122.61,-205080.795,-220963.59,-216172.215,-210260.205
1764433878.8460116,-212463.99,-213161.445,-205033.59,-220952.61,-216162.135,-210255.255
1764433878.8460116,-212525.055,-213221.745,-204960.87,-220921.02,-216131.85,-210228.66
1764433878.8460116,-212588.775,-213283.485,-204882.615,-220877.325,-216092.25,-210188.295
1764433878.8460116,-212631.705,-213326.73,-204829.245,-220838.94,-216069.075,-210156.255
1764433878.8460116,-212618.115,-213314.22,-204818.13,-220814.28,-216053.37,-210132.045
1764433878.8460116,-212599.665,-213296.895,-204864.66,-220824.855,-216062.1,-210136.68
1764433878.8460116,-212564.34,-213263.19,-204922.575,-220836.735,-216072.315,-210142.395
1764433878.8460116,-212538.015,-213237.54,-204986.97,-220852.845,-216087.3,-210153.735
1764433878.8460116,-212510.34,-213211.215,-205047.54,-220884.12,-216107.235,-210177.99
1764433878.8460116,-212512.68,-213212.88,-205053.12,-220891.68,-216113.22,-210187.35
1764433878.889952,-212547.6,-213246.0,-205021.08,-220884.84,-216110.205,-210186.54
1764433878.8904777,-212588.145,-213285.915,-204971.445,-220871.025,-216098.595,-210177.675
1764433878.8904777,-212619.42,-213315.615,-204905.34,-220842.225,-216072.405,-210152.295
1764433878.8904777,-212660.64,-213354.81,-204853.455,-220806.63,-216051.12,-210123.315
