Device 1	MAC Address	029da0
Device 2	MAC Address	1d6840
Device 3	MAC Address	d0b33c
Device number	Channel1	Channel2	Channel3	Channel4	Channel5	Channel6	Channel7	Channel8	GyroX	GyroY	GyroZ	AccX	AccY	AccZ	Timestamp
